participantID,Age,Gender,NumOfNativeLanguages,TotalLanguages,Extroversion,fileID,chainID,generation_number,chain_number,gesture,gesture_chain,total_gesture_space2D,total_body_entropy2Daggregated,total_body_variability2Daggregated,X_embeddings,Y_embeddings,total_distance,diff_in_gesture_space,diff_in_entropy,diff_in_variability,diff_in_age,diff_in_extrovet,diff_in_gender,diff_in_TotalLanguages,diff_in_TotalNativeLanguages,Age_category
33,55.0,Man / Männlich,1.0,2.0,80.0,kalt_g_ch2_g13_compr.mp4,ch2g13,14.0,2.0,kalt,kalt_g_ch2,1.0193663124104912,1.3329906592434806,0.0,0.8198368,-3.8703084,1200.0005060192402,0.27470995281054456,0.4942754984414841,0.0,31.0,39.0,1.0,2.0,0.0,GenX
3,32.0,Woman / Weiblich,1.0,3.0,60.0,rennen_g_ch1_g3_compr.mp4,ch1g3,4.0,1.0,rennen,rennen_g_ch1,0.6194316835858207,2.843087864681815,41.19524986101269,0.7052945,-6.2619977,131.58960369737648,0.2614863840211888,0.0742917246086292,27.35454280150436,8.0,43.0,1.0,4.0,0.0,Millenial
38,9.0,Woman / Weiblich,1.0,2.0,48.0,langsam_g_ch2_g18_compr.mp4,ch2g18,19.0,2.0,langsam,langsam_g_ch2,1.262456493495152,2.7742230652539175,594.8308424573704,-1.5676683,-2.8036332,599.0245465535928,0.26729209039889146,0.05641640724202146,554.8218828857628,43.0,26.0,0.0,1.0,1.0,Gen_Alpha
3,32.0,Woman / Weiblich,1.0,3.0,60.0,kalt_g_ch1_g3_compr.mp4,ch1g3,4.0,1.0,kalt,kalt_g_ch1,0.5794584637872674,1.9463312767118068,1057.8279633286272,12.621139,4.0597157,1169.9431508653408,0.33407130885033265,0.31092132889327284,825.5053700046983,8.0,43.0,1.0,4.0,0.0,Millenial
15,44.0,Woman / Weiblich,1.0,5.0,70.0,Donner_g_ch1_g15_compr.mp4,ch1g15,16.0,1.0,Donner,Donner_g_ch1,1.111557006800397,2.787028312751975,239.1829943810765,10.108968,4.004033,369.20843244793934,0.027092503850544958,0.009604357571906252,232.41790405679396,33.0,30.0,1.0,3.0,0.0,Millenial
51,21.0,Man / Männlich,1.0,2.0,60.0,rennen_g_ch3_g11_compr.mp4,ch3g11,12.0,3.0,rennen,rennen_g_ch3,0.3474555591428053,1.6496692370933053,0.0,0.9580046,-5.5700407,165.38225063520613,0.0965682890128059,1.120114059487105,69.92715611645096,41.0,15.0,0.0,0.0,0.0,Gen_Z
25,33.0,Man / Männlich,1.0,2.0,80.0,rennen_g_ch2_g5_compr.mp4,ch2g5,6.0,2.0,rennen,rennen_g_ch2,0.488009004100625,2.8470393948766377,28.96757446474348,-0.22358148,-6.0618567,1568.1605661288545,0.15949723805048627,0.482223935398046,968.3356468665473,33.0,20.0,1.0,3.0,0.0,Millenial
49,50.0,Man / Männlich,1.0,3.0,80.0,Donner_g_ch3_g9_compr.mp4,ch3g9,10.0,3.0,Donner,Donner_g_ch3,1.325738274429613,1.8926524477839124,783.3333333333226,0.80202174,-1.55444,670.0934145482717,0.019377887707111796,0.49000212700380685,252.29661143925216,22.0,52.0,1.0,2.0,0.0,GenX
6,24.0,Woman / Weiblich,1.0,3.0,71.0,Donner_g_ch1_g6_compr.mp4,ch1g6,7.0,1.0,Donner,Donner_g_ch1,1.11255560740409,2.488923615689365,614.0004297863045,10.343192,4.1035795,847.5361187626279,0.7104255844224414,0.09935907673466993,522.5635929496805,35.0,5.0,1.0,1.0,0.0,Gen_Z
25,33.0,Man / Männlich,1.0,2.0,80.0,kalt_g_ch2_g5_compr.mp4,ch2g5,6.0,2.0,kalt,kalt_g_ch2,0.686870239054695,1.325668963830427,0.0,13.887801,2.6390996,2480.773956739262,0.17832968660675097,0.19455659175379258,1749.9999999999927,33.0,20.0,1.0,3.0,0.0,Millenial
